联通,#genre#
东方卫视,rtp://229.58.190.144:5000
陕西卫视,rtp://229.58.190.80:5000
山西卫视,rtp://229.58.190.84:5000
山东卫视高清,rtp://229.58.190.160:5000
山东卫视,rtp://229.58.190.33:5000
全纪实,rtp://229.58.190.86:5000
青海卫视,rtp://229.58.190.149:5000
汽摩,rtp://229.58.190.85:5000
齐齐哈尔新闻,rtp://229.58.190.164:5000
齐齐哈尔经济,rtp://229.58.190.192:5000
齐齐哈尔公共,rtp://229.58.190.4:5000
七彩戏剧,rtp://229.58.190.99:5000
女性时尚,rtp://229.58.190.195:5000
宁夏卫视,rtp://229.58.190.184:5000
内蒙古卫视,rtp://229.58.190.183:5000
南方卫视,rtp://229.58.190.115:5000
魅力足球,rtp://229.58.190.112:5000
辽宁卫视,rtp://229.58.190.51:5000
辽宁卫视,rtp://229.58.190.146:5000
梨园,rtp://229.58.190.87:5000
梨园,rtp://229.58.190.152:5000
CCTV老故事,rtp://229.58.190.194:5000
快乐垂钓,rtp://229.58.190.113:5000
卡酷动画,rtp://229.58.190.186:5000
金鹰卡通,rtp://229.58.190.98:5000
金色频道,rtp://229.58.190.88:5000
江西卫视高清,rtp://229.58.190.208:5000
江西卫视,rtp://229.58.190.74:5000
江苏卫视高清,rtp://229.58.190.37:5000
江苏卫视,rtp://229.58.190.147:5000
嘉佳卡通,rtp://229.58.190.107:5000
家有购物,rtp://229.58.190.29:5000
家庭理财,rtp://229.58.190.106:5000
佳木斯新闻,rtp://229.58.190.163:5000
纪实人文HD,rtp://229.58.190.102:5000
纪实人文,rtp://229.58.190.94:5000
极速汽车,rtp://229.58.190.76:5000
吉林卫视高清,rtp://229.58.190.214:5000
吉林卫视,rtp://229.58.190.140:5000
环球奇观,rtp://229.58.190.13:5000
环球购物,rtp://229.58.190.5:5000
CCTV怀旧剧场,rtp://229.58.190.78:5000
湖南卫视高清,rtp://229.58.190.128:5000
湖南卫视,rtp://229.58.190.142:5000
湖南金鹰卡通卫视,rtp://229.58.190.181:5000
湖北卫视高清,rtp://229.58.190.101:5000
湖北卫视,rtp://229.58.190.148:5000
黑龙江影视高清,rtp://229.58.190.14:5000
黑龙江影视,rtp://229.58.190.126:5000
黑龙江新闻高清,rtp://229.58.190.16:5000
黑龙江新闻,rtp://229.58.190.122:5000
黑龙江文体,rtp://229.58.190.30:5000
黑龙江文体,rtp://229.58.190.116:5000
黑龙江卫视高清,rtp://229.58.190.150:5000
黑龙江卫视,rtp://229.58.190.125:5000
黑龙江少儿高清,rtp://229.58.190.39:5000
黑龙江少儿,rtp://229.58.190.124:5000
黑龙江农业,rtp://229.58.190.7:5000
黑龙江农业,rtp://229.58.190.123:5000
黑龙江都市,rtp://229.58.190.34:5000
黑龙江都市,rtp://229.58.190.121:5000
河南卫视高清,rtp://229.58.190.103:5000
河南卫视,rtp://229.58.190.62:5000
河北卫视高清,rtp://229.58.190.209:5000
河北卫视,rtp://229.58.190.55:5000
海南卫视高清,rtp://229.58.190.213:5000
海南卫视,rtp://229.58.190.141:5000
哈哈炫动,rtp://229.58.190.96:5000
国学频道,rtp://229.58.190.119:5000
贵州卫视高清,rtp://229.58.190.100:5000
贵州卫视,rtp://229.58.190.143:5000
广西卫视,rtp://229.58.190.145:5000
广东卫视高清,rtp://229.58.190.53:5000
广东卫视,rtp://229.58.190.139:5000
甘肃卫视,rtp://229.58.190.185:5000
东南卫视,rtp://229.58.190.180:5000
CCTV风云足球,rtp://229.58.190.190:5000
CCTV风云音乐,rtp://229.58.190.188:5000
CCTV风云剧场,rtp://229.58.190.170:5000
风尚购物,rtp://229.58.190.45:5000
法治天地,rtp://229.58.190.92:5000
法治天地,rtp://229.58.190.110:5000
都市剧场,rtp://229.58.190.70:5000
动漫秀场,rtp://229.58.190.97:5000
东南卫视高清,rtp://229.58.190.168:5000
东方卫视高清,rtp://229.58.190.54:5000
东方财经,rtp://229.58.190.90:5000
东方财经,rtp://229.58.190.105:5000
CCTV第一剧场,rtp://229.58.190.171:5000
导视,rtp://229.58.190.6:5000
茶频道,rtp://229.58.190.111:5000
财富天下,rtp://229.58.190.109:5000
兵团卫视,rtp://229.58.190.178:5000
CCTV兵器科技,rtp://229.58.190.189:5000
北京卫视高清,rtp://229.58.190.172:5000
北京卫视,rtp://229.58.190.65:5000
北京纪实科教,rtp://229.58.190.21:5000
百变课堂,rtp://229.58.190.89:5000
安徽卫视高清,rtp://229.58.190.162:5000
安徽卫视,rtp://229.58.190.71:5000
CGTN,rtp://229.58.190.19:5000
CGTN,rtp://229.58.190.18:5000
CETV早期教育,rtp://229.58.190.174:5000
CETV4,rtp://229.58.190.66:5000
CETV2,rtp://229.58.190.59:5000
CETV1,rtp://229.58.190.26:5000
CCTV世界地理,rtp://229.58.190.175:5000
CCTV女性时尚,rtp://229.58.190.187:5000
CGTN,rtp://229.58.190.23:5000
CCTV高尔夫网球,rtp://229.58.190.11:5000
CCTV法语,rtp://229.58.190.8:5000
CCTV俄语,rtp://229.58.190.20:5000
CCTV电视指南,rtp://229.58.190.25:5000
CCTV电视指南,rtp://229.58.190.191:5000
CCTV英语新闻,rtp://229.58.190.138:5000
9号[768*576],rtp://229.58.190.9:5000
81号[768*576],rtp://229.58.190.81:5000
79号[768*576],rtp://229.58.190.79:5000
69号[768*576],rtp://229.58.190.69:5000
56号[1024*576],rtp://229.58.190.56:5000
49号[768*576],rtp://229.58.190.49:5000
47号[768*576],rtp://229.58.190.47:5000
46号[768*576],rtp://229.58.190.46:5000
44号[768*576],rtp://229.58.190.44:5000
43号[768*576],rtp://229.58.190.43:5000
42号[1024*576],rtp://229.58.190.42:5000
41号[768*576],rtp://229.58.190.41:5000
40号[768*576],rtp://229.58.190.40:5000
2号[1920*1080],rtp://229.58.190.2:5000
196号[1047*576],rtp://229.58.190.196:5000
17号[768*576],rtp://229.58.190.17:5000
173号[768*576],rtp://229.58.190.173:5000
15号[768*576],rtp://229.58.190.15:5000
155号[785*576],rtp://229.58.190.155:5000
12号[785*576],rtp://229.58.190.12:5000
120号[1024*576],rtp://229.58.190.120:5000
118号[1024*576],rtp://229.58.190.118:5000
117号[1024*576],rtp://229.58.190.117:5000
10号[1024*576],rtp://229.58.190.10:5000
